[2014/05/02 01:00:23] Scheduled ASAP backup.
[2014/05/02 01:01:27] Begining Backup.
[2014/05/02 01:01:27] SQL file created: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql (676 kB).
[2014/05/02 01:01:27] SQL filename added to zip.
[2014/05/02 01:01:27] Creating zip file ...
[2014/05/02 01:01:27] Calculating zip file size ...
[2014/05/02 01:01:27] Zip file generated: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip (133 kB).
[2014/05/02 01:01:27] New filename local.plugins.dev/2014-05-02-010127.zip.
[2014/05/02 01:04:55] Begining Backup.
[2014/05/02 01:04:55] SQL file created: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql (676 kB).
[2014/05/02 01:04:55] SQL filename added to zip.
[2014/05/02 01:04:55] Creating zip file ...
[2014/05/02 01:04:55] Calculating zip file size ...
[2014/05/02 01:04:55] Zip file generated: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip (133 kB).
[2014/05/02 01:04:56] New filename local.plugins.dev/2014-05-02-010456.zip.
[2014/05/02 01:05:24] Begining Backup.
[2014/05/02 01:05:24] SQL file created: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql (676 kB).
[2014/05/02 01:05:24] SQL filename added to zip.
[2014/05/02 01:05:24] Creating zip file ...
[2014/05/02 01:05:25] Calculating zip file size ...
[2014/05/02 01:05:25] Zip file generated: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip (133 kB).
[2014/05/02 01:05:25] New filename local.plugins.dev/2014-05-02-010525.zip.
[2014/05/02 01:05:27] File failed to create /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip in DreamObjects as local.plugins.dev/2014-05-02-010525.zip. Status: .
[2014/05/02 01:05:27] Deleting zip file: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-backups.zip ...
[2014/05/02 01:05:27] Deleting SQL file: /srv/www/vvv-ass/wordpress-plugins/htdocs/wp-content/upgrade/dreamobject-db-backup.sql ...
[2014/05/02 01:05:27] Removed backup wp-content/uploads/2010/08/unicorn-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:45] Removed backup wp-content/uploads/sites/2/2010/08/unicorn-wallpaper.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5478-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5478-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5478-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5478-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5478-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5478.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5540-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5540-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5540-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:46] Removed backup wp-content/uploads/sites/2/2010/09/100_5540-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/100_5540-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/100_5540.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/canola2-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/canola2-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/canola2-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/canola2.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/cep00032-1024x819.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/cep00032-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/cep00032-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:47] Removed backup wp-content/uploads/sites/2/2010/09/cep00032-300x240.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:48] Removed backup wp-content/uploads/sites/2/2010/09/cep00032-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:48] Removed backup wp-content/uploads/sites/2/2010/09/cep00032.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:48] Removed backup wp-content/uploads/sites/2/2010/09/dcp_2082-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:48] Removed backup wp-content/uploads/sites/2/2010/09/dcp_2082-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:48] Removed backup wp-content/uploads/sites/2/2010/09/dcp_2082-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:48] Removed backup wp-content/uploads/sites/2/2010/09/dcp_2082-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dcp_2082-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dcp_2082.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dsc02085-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dsc02085-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dsc02085-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dsc02085-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:49] Removed backup wp-content/uploads/sites/2/2010/09/dsc02085-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc02085.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc03149-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc03149-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc03149-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc03149-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc03149-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc03149.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc04563-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc04563-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:50] Removed backup wp-content/uploads/sites/2/2010/09/dsc04563-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc04563-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc04563-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc04563.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc09114-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc09114-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc09114-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc09114-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc09114-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc09114.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc20040724_152504_532-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc20040724_152504_532-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:51] Removed backup wp-content/uploads/sites/2/2010/09/dsc20040724_152504_532-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20040724_152504_532.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050102_192118_51-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050102_192118_51-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050102_192118_51-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050102_192118_51-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050102_192118_51-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050102_192118_51.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050604_133440_34211-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050604_133440_34211-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050604_133440_34211-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050604_133440_34211.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050727_091048_222-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:52] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050727_091048_222-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050727_091048_222-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050727_091048_222.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050813_115856_52-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050813_115856_52-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050813_115856_52-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20050813_115856_52.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_160808_102-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_160808_102-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_160808_102-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_160808_102-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:53] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_160808_102-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_160808_102.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_173257_119-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_173257_119-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_173257_119-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_173257_119-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_173257_119-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dsc20051220_173257_119.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dscn3316-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dscn3316-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dscn3316-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dscn3316-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:54] Removed backup wp-content/uploads/sites/2/2010/09/dscn3316-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/dscn3316.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0513-1-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0513-1-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0513-1-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0513-1.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0747-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0747-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0747-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0747-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0747-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0747.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0767-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0767-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:55] Removed backup wp-content/uploads/sites/2/2010/09/img_0767-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_0767.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_8399-1024x682.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_8399-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_8399-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_8399-300x199.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_8399-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/img_8399.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/michelle_049-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/michelle_049-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/michelle_049-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/michelle_049-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:56] Removed backup wp-content/uploads/sites/2/2010/09/michelle_049-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/michelle_049.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/windmill-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/windmill-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/windmill-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/windmill-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/windmill-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2010/09/windmill.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-horizontal-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:57] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-horizontal-300x155.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-horizontal.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-vertical-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-vertical-155x300.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-vertical-300x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-vertical-300x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2012/03/featured-image-vertical.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-1200x4002-1024x341.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-1200x4002-1038x400.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-1200x4002-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-1200x4002-300x100.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-1200x4002-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-1200x4002.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:58] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-150x150-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-300x200-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-300x200.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-580x300-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-580x300-300x155.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/image-alignment-580x300.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/soworthloving-wallpaper-1024x640.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/soworthloving-wallpaper-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/soworthloving-wallpaper-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/soworthloving-wallpaper-300x187.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:05:59] Removed backup wp-content/uploads/sites/2/2013/01/soworthloving-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2013/01/soworthloving-wallpaper.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/48953343-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/48953343-300x300.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/48953343-400x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/48953343.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/49007876-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/49007876-300x300.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/49007876-400x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/49007876.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/dsc20040724_152504_532-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/dsc20040724_152504_532-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:00] Removed backup wp-content/uploads/sites/2/2014/04/dsc20040724_152504_532-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/2/2014/04/dsc20040724_152504_532.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/2/2014/04/dsc20050604_133440_34211-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/2/2014/04/dsc20050604_133440_34211-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/2/2014/04/dsc20050604_133440_34211-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/2/2014/04/dsc20050604_133440_34211.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/3/2010/07/originaldixielandjazzbandwithalbernard-stlouisblues.mp3 from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/3/2010/08/manhattansummer-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/3/2010/08/manhattansummer-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/3/2010/08/manhattansummer-640x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:01] Removed backup wp-content/uploads/sites/3/2010/08/manhattansummer.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/triforce-wallpaper-1024x640.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/triforce-wallpaper-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/triforce-wallpaper-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/triforce-wallpaper-300x187.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/triforce-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/triforce-wallpaper.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/unicorn-wallpaper-1024x768.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/unicorn-wallpaper-1038x576.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/unicorn-wallpaper-150x150.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/unicorn-wallpaper-300x225.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:02] Removed backup wp-content/uploads/sites/3/2010/08/unicorn-wallpaper-672x372.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:03] Removed backup wp-content/uploads/sites/3/2010/08/unicorn-wallpaper.jpg from DreamObjects, per user retention choice.
[2014/05/02 01:06:03] Removed backup wp-content/uploads/sites/3/2010/09/100_5478-1024x768.jpg from DreamObjects, per user retention choice.
